"tconst","primaryTitle","releaseYear","isAdult","runtimeMinutes","genres","worldwideSalesDollars","averageRating","numVotes","directors","writers","mainCast"
"tt0070047","The Exorcist",1973,0,122,"Horror",441306145,8.1,388530,"nm0001243","nm0087861","nm0000995, nm0001884, nm0000304, nm0002011"
"tt0070047","The Exorcist",1973,0,122,"Horror",NA,8.1,388530,"nm0001243","nm0087861","nm0000995, nm0001884, nm0000304, nm0002011"
"tt0070328","Live and Let Die",1973,0,121,"Action,Adventure,Thriller",NA,6.7,105153,"nm0357891","nm0542539,nm0001220","nm0000549, nm0001433, nm0005412, nm0416378"
"tt0070355","Magnum Force",1973,0,124,"Action,Crime,Mystery",NA,7.2,60551,"nm0692872","nm0277807,nm0277849,nm0587518,nm0001047","nm0000142, nm0001358, nm0752751, nm0815800"
"tt0070379","Mean Streets",1973,0,112,"Crime,Drama,Thriller",NA,7.2,107267,"nm0000217","nm0000217,nm0552731","nm0000134, nm0000172, nm0698998, nm0732364"
"tt0070511","Papillon",1973,0,151,"Biography,Crime,Drama",NA,8,128548,"nm0769874","nm0874308,nm0783913,nm0153508,nm0001279","nm0000537, nm0000163, nm0430460, nm0330150"
"tt0070608","Robin Hood",1973,0,83,"Adventure,Animation,Comedy",NA,7.5,124148,"nm0359457,nm0718627","nm0166307,nm0027011,nm0314788,nm0858826,nm0166551,nm0841035,nm0585150","nm0066028, nm0365201, nm0589248, nm0001811"
"tt0070666","Serpico",1973,0,130,"Biography,Crime,Drama",NA,7.7,119993,"nm0001486","nm0530995,nm0759029,nm0923319","nm0000199, nm0709907, nm0444955, nm0570161"
"tt0070723","Soylent Green",1973,0,97,"Crime,Mystery,Sci-Fi",NA,7,63403,"nm0281507","nm0338591,nm0365621","nm0000032, nm0000064, nm0853375, nm0168035"
"tt0070735","The Sting",1973,0,129,"Comedy,Crime,Drama",NA,8.3,256113,"nm0001351","nm0911486","nm0000056, nm0000602, nm0001727, nm0001164"
"tt0070849","Last Tango in Paris",1972,0,129,"Drama,Romance",NA,6.9,53057,"nm0000934","nm0000934,nm0033490,nm0889513,nm0004462","nm0000008, nm0773932, nm0585170, nm0302815"
"tt0070909","Westworld",1973,0,88,"Action,Sci-Fi,Thriller",NA,7,56766,"nm0000341","nm0000341","nm0000989, nm0000907, nm0000981, nm0058991"
"tt0070917","The Wicker Man",1973,0,88,"Horror,Mystery,Thriller",NA,7.5,78756,"nm0362736","nm0787289,nm0684432","nm0940919, nm0000489, nm0162283, nm0001180"
"tt0071230","Blazing Saddles",1974,0,93,"Comedy,Western",NA,7.7,135664,"nm0000316","nm0000316,nm0825799,nm0000921,nm0001640,nm0880078","nm0001476, nm0000698, nm0001620, nm0466327"
"tt0071315","Chinatown",1974,0,130,"Drama,Mystery,Thriller",NA,8.2,317759,"nm0000591","nm0001801,nm0000591","nm0000197, nm0001159, nm0001379, nm0520164"
