"tconst","releaseYear","genres","averageRating","numVotes","directors","writers","outcome"
"tt2481498",2019,"Biography,Crime,Drama",6.7,90438,"nm0075666","nm10601084,nm5344063","unpopular"
"tt0117318",1996,"Biography,Drama",7.3,93600,"nm0001232","nm0018735,nm0438989","unpopular"
"tt0169547",1999,"Drama",8.4,1127010,"nm0005222","nm0050332","popular"
"tt0408790",2005,"Drama,Mystery,Thriller",6.3,160221,"nm0777881","nm1618225,nm0712753","popular"
"tt0300556",2003,"Action,Adventure,Sci-Fi",5.6,62725,"nm0001149","nm0000341,nm0536587,nm1079776","unpopular"
"tt3040964",2016,"Adventure,Drama,Family",7.4,272338,"nm0269463","nm1098479,nm0456017","popular"
"tt2908446",2015,"Action,Adventure,Sci-Fi",6.2,232146,"nm0777881","nm3929259,nm0326040,nm0093560,nm4316121","popular"
"tt1263670",2009,"Drama,Music,Romance",7.2,88757,"nm0178376","nm0178376,nm3084575","unpopular"
"tt0445922",2007,"Drama,Fantasy,History",7.3,109468,"nm0853380","nm0166074,nm0478588,nm0853380","unpopular"
"tt0048728",1955,"Mystery,Romance,Thriller",7.4,71454,"nm0000033","nm0371088,nm0230196,nm0178785","unpopular"
"tt4649466",2017,"Action,Adventure,Comedy",6.7,314100,"nm0891216","nm0963359,nm0891216,nm2092839,nm1733301","popular"
"tt10633456",2020,"Drama",7.5,72959,"nm1818032","nm1818032","unpopular"
"tt0065214",1969,"Action,Adventure,Western",7.9,83235,"nm0001603","nm0338396,nm0001603,nm0796429","unpopular"
"tt9620288",2021,"Biography,Drama,Sport",7.5,69144,"nm3232264","nm1598140","unpopular"
"tt1408101",2013,"Action,Adventure,Sci-Fi",7.7,478055,"nm0009190","nm0649460,nm0476064,nm0511541,nm0734472","popular"
"tt1001526",2010,"Action,Animation,Comedy",7.3,250515,"nm0569891","nm0774786,nm2523794","popular"
"tt0071315",1974,"Drama,Mystery,Thriller",8.2,317759,"nm0000591","nm0001801,nm0000591","unpopular"
"tt0062622",1968,"Adventure,Sci-Fi",8.3,647632,"nm0000040","nm0000040,nm0002009","unpopular"
"tt8075192",2018,"Crime,Drama",7.9,73079,"nm0466153","nm0466153","unpopular"
"tt3717490",2017,"Action,Adventure,Fantasy",5.9,106526,"nm2410311","nm0309691,nm1948885,nm2332952,nm1802251,nm0612487,nm0536805,nm2120520,nm0411127,nm0506619","popular"
"tt0117887",1996,"Comedy,Drama,Music",7,67815,"nm0000158","nm0000158","unpopular"
"tt0947802",2008,"Crime,Drama,Thriller",6.2,51929,"nm0001438","nm0521739,nm0466122","unpopular"
"tt0110632",1994,"Action,Crime,Drama",7.2,229566,"nm0000231","nm0000233,nm0892705,nm0752116,nm0000231","unpopular"
"tt0446029",2010,"Action,Comedy,Fantasy",7.6,413087,"nm0942367","nm0045209,nm0942367,nm1854069","unpopular"
"tt0289992",2003,"Crime,Drama,Thriller",7.5,118736,"nm0000570","nm1017488","unpopular"
"tt1478338",2011,"Comedy,Romance",6.8,286399,"nm0082450","nm1325419,nm1754239","popular"
"tt0442933",2007,"Action,Adventure,Animation",6.3,166842,"nm0000709","nm0301274,nm0000812,nm1511619","popular"
